,input_x,input_y,output_z
0,-100,-100,0.5011337868480725
1,-100,-95,0.5003148866083927
2,-100,-90,0.5008668657714364
3,-100,-85,0.500533230337078
4,-100,-80,0.5015386845512227
5,-100,-75,0.5003092926346843
6,-100,-70,0.5003861589405382
7,-100,-65,0.5011876383462449
8,-100,-60,0.501667285907652
9,-100,-55,0.5016059851011196
10,-100,-50,0.5008727250212089
11,-100,-45,0.5002486973997203
12,-100,-40,0.5021192403153897
13,-100,-35,0.5025038212936825
14,-100,-30,0.5006919004906457
15,-100,-25,0.5029027150195884
16,-100,-20,0.5022798082490516
17,-100,-15,0.5003341869825693
18,-100,-10,0.5019043060509968
19,-100,-5,0.5033681844889004
20,-100,0,0.5037492750063074
21,-100,5,0.5033681844889004
22,-100,10,0.5019043060509968
23,-100,15,0.5003341869825693
24,-100,20,0.5022798082490516
25,-100,25,0.5029027150195884
26,-100,30,0.5006919004906457
27,-100,35,0.5025038212936825
28,-100,40,0.5021192403153897
29,-100,45,0.5002486973997203
30,-100,50,0.5008727250212089
31,-100,55,0.5016059851011196
32,-100,60,0.501667285907652
33,-100,65,0.5011876383462449
34,-100,70,0.5003861589405382
35,-100,75,0.5003092926346843
36,-100,80,0.5015386845512227
37,-100,85,0.500533230337078
38,-100,90,0.5008668657714364
39,-100,95,0.5003148866083927
40,-95,-100,0.5003148866083927
41,-95,-95,0.5013777805333388
42,-95,-90,0.5001729252251415
43,-95,-85,0.50165099429236
44,-95,-80,0.5002107571031829
45,-95,-75,0.5010412929822637
46,-95,-70,0.5022269523582017
47,-95,-65,0.5021700252862001
48,-95,-60,0.5020184268251215
49,-95,-55,0.5024069761387491
50,-95,-50,0.5031626684037087
51,-95,-45,0.5025775088884434
52,-95,-40,0.5003718574163764
53,-95,-35,0.5028122255248222
54,-95,-30,0.5019663730746577
55,-95,-25,0.5029663478804581
56,-95,-20,0.5005954534426552
57,-95,-15,0.5040498496622988
58,-95,-10,0.5045453081702295
59,-95,-5,0.5031337408838872
60,-95,0,0.5025424689094635
61,-95,5,0.5031337408838872
62,-95,10,0.5045453081702295
63,-95,15,0.5040498496622988
64,-95,20,0.5005954534426552
65,-95,25,0.5029663478804581
66,-95,30,0.5019663730746577
67,-95,35,0.5028122255248222
68,-95,40,0.5003718574163764
69,-95,45,0.5025775088884434
70,-95,50,0.5031626684037087
71,-95,55,0.5024069761387491
72,-95,60,0.5020184268251215
73,-95,65,0.5021700252862001
74,-95,70,0.5022269523582017
75,-95,75,0.5010412929822637
76,-95,80,0.5002107571031829
77,-95,85,0.50165099429236
78,-95,90,0.5001729252251415
79,-95,95,0.5013777805333388
80,-90,-100,0.5008668657714364
81,-90,-95,0.5001729252251415
82,-90,-90,0.5016901027582477
83,-90,-85,0.5001581875847333
84,-90,-80,0.5017718944390609
85,-90,-75,0.5016406086081466
86,-90,-70,0.5003799178655568
87,-90,-65,0.5002832450334239
88,-90,-60,0.5005287775198098
89,-90,-55,0.500440593016307
90,-90,-50,0.5003379862115788
91,-90,-45,0.5019007130916249
92,-90,-40,0.5043584359437199
93,-90,-35,0.5009153411126843
94,-90,-30,0.5037476502095541
95,-90,-25,0.501175921504127
96,-90,-20,0.5055296458271086
97,-90,-15,0.5020411229162721
98,-90,-10,0.5004975906576403
99,-90,-5,0.5015139412869992
100,-90,0,0.502136526338177
101,-90,5,0.5015139412869992
102,-90,10,0.5004975906576403
103,-90,15,0.5020411229162721
104,-90,20,0.5055296458271086
105,-90,25,0.501175921504127
106,-90,30,0.5037476502095541
107,-90,35,0.5009153411126843
108,-90,40,0.5043584359437199
109,-90,45,0.5019007130916249
110,-90,50,0.5003379862115788
111,-90,55,0.500440593016307
112,-90,60,0.5005287775198098
113,-90,65,0.5002832450334239
114,-90,70,0.5003799178655568
115,-90,75,0.5016406086081466
116,-90,80,0.5017718944390609
117,-90,85,0.5001581875847333
118,-90,90,0.5016901027582477
119,-90,95,0.5001729252251415
120,-85,-100,0.500533230337078
121,-85,-95,0.50165099429236
122,-85,-90,0.5001581875847333
123,-85,-85,0.5020946575758528
124,-85,-80,0.5003992971324935
125,-85,-75,0.501020879072818
126,-85,-70,0.5027630462151104
127,-85,-65,0.5030713949823696
128,-85,-60,0.5030455075063553
129,-85,-55,0.5035872169744597
130,-85,-50,0.5043381990830582
131,-85,-45,0.5030074183055868
132,-85,-40,0.5004195499953402
133,-85,-35,0.5045901744505396
134,-85,-30,0.5021255840568375
135,-85,-25,0.5050153579222398
136,-85,-20,0.5006100479611296
137,-85,-15,0.5052415634518989
138,-85,-10,0.5070893664333511
139,-85,-5,0.5055061894722559
140,-85,0,0.5046776667384612
141,-85,5,0.5055061894722559
142,-85,10,0.5070893664333511
143,-85,15,0.5052415634518989
144,-85,20,0.5006100479611296
145,-85,25,0.5050153579222398
146,-85,30,0.5021255840568375
147,-85,35,0.5045901744505396
148,-85,40,0.5004195499953402
149,-85,45,0.5030074183055868
150,-85,50,0.5043381990830582
151,-85,55,0.5035872169744597
152,-85,60,0.5030455075063553
153,-85,65,0.5030713949823696
154,-85,70,0.5027630462151104
155,-85,75,0.501020879072818
156,-85,80,0.5003992971324935
157,-85,85,0.5020946575758528
158,-85,90,0.5001581875847333
159,-85,95,0.50165099429236
160,-80,-100,0.5015386845512227
161,-80,-95,0.5002107571031829
162,-80,-90,0.5017718944390609
163,-80,-85,0.5003992971324935
164,-80,-80,0.5026254988447805
165,-80,-75,0.5010447207625838
166,-80,-70,0.5003002416190651
167,-80,-65,0.5011782737115699
168,-80,-60,0.5019413399012271
169,-80,-55,0.501801266849371
170,-80,-50,0.500758330023366
171,-80,-45,0.5009623436130083
172,-80,-40,0.5054401328355435
173,-80,-35,0.5034274076727775
174,-80,-30,0.5028463743050808
175,-80,-25,0.5042747304227799
176,-80,-20,0.5067375748499229
177,-80,-15,0.5009787958010631
178,-80,-10,0.5022419886723065
179,-80,-5,0.505362899539983
180,-80,0,0.5064901143914371
181,-80,5,0.505362899539983
182,-80,10,0.5022419886723065
183,-80,15,0.5009787958010631
184,-80,20,0.5067375748499229
185,-80,25,0.5042747304227799
186,-80,30,0.5028463743050808
187,-80,35,0.5034274076727775
188,-80,40,0.5054401328355435
189,-80,45,0.5009623436130083
190,-80,50,0.500758330023366
191,-80,55,0.501801266849371
192,-80,60,0.5019413399012271
